resp_no,branch,profess,gender,educatio,loy1_1,loy2_1,loy3_1,loy4_1,loy5_1,loy6_1,val1_1,val2_1,val3_1,sat1_1,sat2_1,sat3_1,sav_1,loans_1,long_1,age_1,income_1,CLV
1772,5,2,2,3,6,4,4,3,7,7,8,7,8,6,6,9,5,50,36,66,1,3439.880102
1774,1,2,2,4,7,2,3,2,6,6,9,9,9,7,7,9,80,52.90401425,78,66,2,3632.741376
1776,3,3,1,2,6,4,5,4,7,5,7,6,8.355932203,3,4,6,100,100,22,22,3,3691.75484
1782,1,3,2,4,3,4,4,4,5,5,7,7,9,6,6,9,100,52.90401425,24,41,2,4343.002037
1783,4,2, ,3,4,4,5,3,7,4,7,7,7,2,2,6,100,52.90401425,36,45.13924051,3,5859.118531
1785,3,2,2,3,6,5,4,4,4,4,5,5,6,2,4,7,64.94316832,52.90401425,31.20780142,64,4,5131.323031
1787,5,2,2,2,7,6,2,5,7,7,8,8,9,7,7,8,100,52.90401425,48,63,2,6583.944945
1789,2,1,2,2,7,3,6,4,5,7,10,9,10,7,5.811797753,8.184135977,50,52.90401425,12,60,3,5065.3264
1791,3,2,2,4,7,1,1,1,7,7,10,10,10,7,7,10,100,100,36,59,2,9934.604919
1796,4,3,2,4,7,7,2,6,6,7,9,9,10,6,6,9,10,100,6,58,2,14495.39532
1797,1,1,2,2,7,7,7,2,7,7,10,10,10,7,7,10,10,52.90401425,31.20780142,45.13924051,1,3139.606504
1798,4,1,2,3,7,5,4,4,7,5,8,8,9,6,6,9,30,52.90401425,48,45.13924051,3,3227.948985
1800,5,2,2,4,7,4,1,1,7,7,10,10,10,7,7,10,5,100,31.20780142,75,3,3019.11001
1802,6,2,2,2,7,4,4,4,7,7,10,10,10,7,7,10,100,52.90401425,31.20780142,54,1,3013.835617
1803,1,1,2,4,7,4,5,4,6,6,8,8,8,6,6,8,50,25,24,58,3,6967.906762
1808,5,2,2,2,6,6,4,6,5,6,8,8,8,6,6,8,80,100,36,58,4,13276.06125
1810,5,2,1,4,5,4,4,4,4,6,8,8,9,7,6,9,75,52.90401425,24,66,3,4191.10745
1814,5,2,1,3,7,2,4,3,7,7,10,8,8,8,8,8,16,52.90401425,31.20780142,45.13924051,3,3969.027182
1822,3,3,2,3,6,4,5,2,7,6,8,8,9,7,7,9,100,52.90401425,24,54,1,3471.303692
1827,2,1,2,4,6,5,2,3,6,6,8,8,9,7,7,10,10,52.90401425,48,45.13924051,3,5232.947105
1828,3,3,2,4,5,4,5,4,6,6,7,7,8,7,7,10,100,75,31.20780142,54,2,9807.11526
1833,4,1,1,4,5,3,3,4,4,4,8,8,8,4,3,6,40,50,24,54,5,13077.67358
1835,1,2,2,2,6,4,4,4,6,5,8,8,9,7,5.811797753,8.184135977,100,52.90401425,24,53,2,3242.836613
1836,1,1,1,3,7,5,4,5,7,7,9,8,9,4,4,8,100,50,36,45.13924051,4,8952.377201
1844,6,3,2,3,7,5,4,5,6,6,7,5,6,4,3,6,70,80,78,56,3,23836.67624
1854,5,3,1,2,6,4,5,5,6,6,7,7,7,2,2,6,10,70,36,53,4,12563.61074
1859,1,1,2,3,7,2,3,5,7,6,8,8,8,7,7,9,60,100,24,49,5,3774.454052
1863,2,1,1,4,7,4,6,4,5,4,8,7,8,6,6,8,80,50,26,45.13924051,4,15410.5399
1870,4, ,1,4,6,4,3,4,6,5,8,8,8,6,6,8,80,50,36,51,2,8842.734059
1875,1,3,2,3,7,4,4,5,7,7,7,10,10,7,7,10,100,80,78,48,5,23000.46408
1879,6,3,1,2,6,2,3,2,4,4,6,4,7,5,3,8.184135977,80,52.90401425,6,46,2,5225.008675
1884,6,1,2,4,7,5,3,4,7,6,10,10,9,6,6,9,100,52.90401425,60,47,3,6593.475239
1889,1,1,2,3,7,4,1,4,4,5,5,6,7,4,3,5,100,52.90401425,6,45.13924051,4,6665.460475
1894,2,3,1,4,4,3,3,4,6,5,7,7,7,1,1,7,5,52.90401425,24,47,3,4134.772176
1904,4,3,2,3,7,7,3,7,7,7,8,8,7,5,5,7,50,30,96,46,5,21038.92463
1907,1,1,2,2,7,7,5,7,7,7,9,9,9,7,7,10,50,30,36,43,4,3992.832284
1909,3,3,1,3,7,4,4,4,2,6,8,10,10,5,6,10,100,100,26,25,1,3745.555642
1914,4,2,2,1,6,4,4,5,6,6,8,9,9,6,6,9,25,50,78,44,4,8668.612182
1917,4, ,2,1,6,4,2,4,6,6,9,8,8,9,9,9,90,52.90401425,24,41,3,6566.990129
1924,1,3,2,4,6,3,3,4,6,5,7,5,8,6,6,9,20,100,31.20780142,43,4,9650.750707
1927,4,3,2,3,7,3,5,5,7,7,10,10,10,7,5.811797753,8.184135977,100,80,8,36,4,2431.972279
1933,4, ,2,2,5,2,1,4,5,6,5,4,7,7,7,10,80,25,30,40,5,6417.311741
1938,4,3,2,4,6,4,3,4,5,4,7,5,7,2,2,4,70,52.90401425,31.20780142,41,3,2795.748168
1939,1,1,1,4,7,6,6,4,7,7,9,9,10,7,7,10,100,100,31.20780142,64,3,12067.55226
1945,2,3,1,3,7,2,1,7,5,6,9,9,9,6,6,9,50,75,24,26,2,8433.53489
1962,5,1,2,4,7,5,6,4,7,6,9,10,10,7,7,8.184135977,100,25,12,35,2,4733.820918
1970,5,2,1,5,6,5,5,3,5,5,6,7,7,4,5,7,100,100,6,55,4,19488.80809
1976,5,1,2,4,7,6,7,3,7,7,9,8,8,6,6,8,7,2,24,61,4,11458.34869
1980,5, ,1,3,6,3,3,5,6,6,8,8,8,8,8,2,30,52.90401425,16,35,3,4516.854349
1996,5,1,2,4,4,1,1,5,7,6,7,6,7,6,6,8,85,52.90401425,13,26,3,4194.470565
1999,5,3,2,3,6,3,4,5,6,6,8,8,8,5,5,9,90,20,48,29,5,7634.246283
2003,5,2,1,3,7,7,7,7,7,7,10,10,10,7,7,10,50,50,36,59,5,23721.70462
2008,4,3,2,4,7,4,4,3,7,7,9,9,10,7,5.811797753,8.184135977,90,52.90401425,48,33,2,3408.41031
2010,6,3,2,3,6,4,7,6,7,7,9,10,10,9,9,10,100,52.90401425,1,22,1,5212.259534
2019,2,3,2,4,7,4,3,7,5,5.952941176,9,9,9,5,5,7,75,75,60,30,3,7082.480392
2021,5,1,2,4,7,4,6,4,6,5,6,6,8,8,8,2,80,52.90401425,24,31,4,7901.558316
2028,4, ,2,2,2,5,3,5,5,6,10,8,8,5,5,9,100,100,24,23,2,4219.10039
2033,1,3,1,2,7,5,3,6,7,7,8,8,9,6,6,9,90,30,13,45.13924051,4,14092.95476
2034,2,3,1,2,5,2,3,4,4,5,6,6,7,8,8,8,64.94316832,100,31.20780142,50,2,6440.461435
2037,2,1,2,4,7,5,4,7,7,7,9,8,10,7,7,10,100,10,24,45.13924051,4,8255.038327
2038,4,3,2,2,7,5,7,6,7,7,10,10,10,7,7,10,100,25,24,27,2,5409.488961
2045,3,1,1,3,7,5,2,6,6,6,8,9,9,6,6,9,100,52.90401425,12,23,1,3691.043343
2046,4,3,2,3,7,4,5,5,7,6,6,8,8,4,6,6,50,90,6,28,3,5638.960763
2048,3,1,2,3,7,5,5,4,7,6,9,8,10,7,7,10,10,52.90401425,100,45.13924051,1,4567.752612
2049,1,3,1,2,6,3,3,3,6,5,5,7,9,6,6,8,20,10,18,24,2,3363.468121
2055,2,1,2,3,7,7,7,6,7,7,8,9,10,7,7,10,90,52.90401425,60,46,3,7611.966466
2059,4,1,2,2,7,2,4,5,6.070773263,7,10,10,10,7,7,10,100,52.90401425,36,27,4,5400.416161
2068,3,3,2,2,5,4,3,4,5,5,7,8,10,9,9,2,90,50,12,35,3,5372.610674
2069,1,3,1,4,7,6,4,4,7,6,10,10,10,7,5.811797753,8.184135977,100,50,48,44,3,8838.868627
2071,1,2,1,2,7,5,5,4,6,6,7,8,8,6,8,10,64.94316832,24,31.20780142,69,1,6661.418064
2082,2,3,2,4,7,7,1,4,7,7,7,5,7,3,3,5,10,52.90401425,24,66,3,3904.962395
2083,4,2,2,2,7,6,7,6,7,7,10,10,10,7,7,10,64.94316832,5,48,67,3,3060.698554
2084,5,2,2,2,6,4,4,6,6,7,7,7,8,7,7,9,100,52.90401425,8.5,66,1,5224.357424
2085,3,2,1,4,7,1,1,4,7,7,8,8,9,6,6,8.184135977,10,52.90401425,36,64,5,6008.397538
2090,5,2,2,4,7,5,5,5,1,7,9,9,10,7,7,10,80,52.90401425,36,56,4,7877.926777
2091,5,3,1,2,6,4,4,4,5,4,8,7,8,8,8,1,64.94316832,52.90401425,3,59,2,3631.610757
2095,6,2,2,3,7,4,7,4,7,7,10,10,10,7,7,10,100,52.90401425,78,61,3,2795.748168
2099,3,2,2,2,6,4,2,6,6,7,9,9,9,7,7,10,75,50,31.20780142,60,3,15037.36968
2106,1,2,2,3,7,7,1,6,7,7,10,10,10,7,7,10,100,52.90401425,78,45.13924051,1,2952.959533
2109,3,3,1,4,6,4,4,5,7,7,8,8,8,5,4,8,80,90,36,61,4,18104.27905
2110,2,3,2,2,7,7,7,4,7,7,10,10,10,7,7,10,80,80,78,56,2,3991.735277
2113,5,1,2,4,7,5,4,2,7,7,9,9,9,7,7,1,80,52.90401425,26,58,3,6083.889337
2117,5,3,2,1,7,5,5,5,6,6,9,9,9,6,6,9,20,10,24,57,6,8647.885403
2119,3,2,1,3,5,2,3,5,6,5,6,6,7,4,4,7,10,52.90401425,15,45.13924051,3,4556.844901
2120,4,3,2,2,6.191099476,4.061118336,4.092447917,4.376470588,6.070773263,5.952941176,7.908496732,7.980443286,8.355932203,5.957839262,5.811797753,8.184135977,90,52.90401425,30,57,4,5002.572507
2126,4, ,2,3,7,6,6,5,7,5,7,7,9,5,5,7,12,12.6,36,56,3,9703.639474
2128,1,3,1,4,7,6,4,2,6,6,8,9,9,6,6,9,40,52.90401425,78,45.13924051,4,3489.201535
2129,2,2,1,4,5,5,4,5,7,6,8,9,9,6,5,8,10,5,40,54,4,4862.355
2136,6,2,2,2,7,7,7,7,7,7,10,10,10,7,7,10,100,75,24,52,4,10787.82712
2138,6,1,2,4,7,4,4,5,6,6,7,7,9,6,6,9,70,100,24,50,4,7483.249583
2142,1,1,1,3,7,5,5,5,6,6,9,10,9,6,6,9,50,52.90401425,24,45.13924051,5,7608.137112
2144,6,2,2,4,6,4,3,7,7,6,8,8,8,5,5,8,90,10,36,52,5,19053.53996
2153,1, ,1,3,4,2,2,4,7,5,8,8,8,8,8,8,1,52.90401425,12,53,3,4624.374976
2156,2,1,2,4,7,7,7,6,7,7,8,8,8,6,6,8,100,100,12,55,3,17226.52723
2158,5,2,1,4,7,5,4,5,7,6,8,9,9,6,6,9,100,52.90401425,24,52,2,4138.486761
2160,3,1,2,4,7,2,2,4,4,6,6,7,8,8,8,3,2,52.90401425,18,50,5,6870.496306
2162,2,3,1,3,6,5,4,4,6,6,8,8,8,6,6,9,10,50,48,52,4,8775.883937
2165,1,1,1,3,7,4,5,3,7,7,9,8,8,6,6,9,90,30,36,50,4,7945.922366
2168,1, ,2,2,6,5,4,4,6,6,8,8,8,6,6,9,10,52.90401425,8,53,4,5643.834637
2170,2,3,1,4,3,2,6,6,7,5,7,8,7,3,3,7,30,52.90401425,8,37,4,5551.929823
2173,4,1,1,2,7,5,5,4,6,6,4,7,7,6,6,7,10,10,24,45.13924051,2,4232.169135
2175,1,1,1,3,7,4,4,5,7,7,10,10,10,6,6,9,1,60,24,51,3,21502.39225
2176,2,3,2,3,7,6,6,5,7,7,10,8,10,7,7,10,10,75,12,51,4,7292.901667
2187,3,3,2,3,5,4,3,4,7,6,8,7,7,5,4,6,40,50,60,49,3,10715.74552
2191,4, ,2,2,7,6,4,4,7,7,10,10,10,7,6,9,99,99,60,48,3,13587.82773
2194,1,1,2,4,6,2,3,5,7,7,9,9,9,7,5.811797753,8.184135977,100,52.90401425,36,49,2,7151.801173
2195,4,1,2,2,7,6,2,5,6,6,10,9,10,9,9,9,90,100,36,49,3,4542.457658
2207,4,3,2,2,7,7,6,7,7,7,8,8,9,7,7,10,100,75,12,47,4,21611.24682
2212,4,3,2,1,7,4,4,5,7,6,10,10,10,7,6,10,100,52.90401425,24,35,2,3966.333098
2213,4,2,1,4,6,3,3,4,6,6,7,6,8,3,2,6,10,100,78,45.13924051,2,12595.5675
2216,1,3,2,2,7,1,1,4,2,1,5,6,6,6,5.811797753,9,5,1,12,31,3,6442.997232
2218,1,3,1,3,7,5,6,4,5,6,9,8,9,6,6,8,80,52.90401425,28,44,1,3791.935203
2220,1,3,2,3,6,2,3,5,4,5,5,5,7,4,3,7,100,50,24,45.13924051,2,3242.836613
2221,5,3,1,3,7,1,2,4,6,6,6,7,7,5,6,8,50,25,30,30,3,5753.144511
2225,4,3,2,3,7,4,5,5,5,4,7,8,9,7,7,9,90,90,12,41,5,3022.503358
2227,4,3,2,4,5,3,3,4,5,5,8,8,8,5,5,7,45,52.90401425,3,31,3,3425.034713
2229,3,1,2,2,6,4,4,4,7,7,10,10,10,7,5.811797753,8.184135977,80,1,12,39,3,6732.659309
2245,3, ,2,3,7,3,3,4,6,7,7,8,9,7,7,10,100,52.90401425,24,33,2,6181.716747
2247,1,2,2,3,7,3,3,2,1,7,10,9,10,7,7,10,1,100,31.20780142,42,1,4899.56175
2250,4,3,2,2,7,5,4,7,4,6,8,8,8,5,6,8,100,52.90401425,12,27,2,4157.467672
2256,3,1,2,3,7,5,6,3,6,6,10,10,10,7,7,10,100,52.90401425,12,33,2,4955.556886
2257,2,3,2,3,6,3,2,4,6,6,6,6,6,2,2,6,64.94316832,25,31.20780142,27,2,4153.118545
2260,2, ,1,2,6,4,7,6,7,7,8,8,9,6,6,8,10,25,6,37,3,8876.097187
2266,4,1,2,3,5,5,4,4,6,4,5,5,6,1,1,7,25,52.90401425,40,45.13924051,2,4383.311344
2270,1,1,2,3,7,6,6,6,7,7,10,10,10,7,7,10,100,33,24,40,3,4344.941514
2274,4,3,1,1,7,4,4,5,6,6,8,8,8,6,6,8,70,50,3.5,34,4,5133.313626
2275,4,3,2,4,7,2,3,4,7,7,7,8,8,3,3,5,0.5,52.90401425,24,45.13924051,2,2795.748168
2276,4,3,2,2,7,3,2,4,7,5,8,8,8,7,7,8,64.94316832,52.90401425,5,45.13924051,3,3037.412601
2278,2,3,1,3,7,5,6,4,7,7,9,9,9,6,6,9,95,30,24,33,4,6896.145109
2287,4,3, ,3,6,3,4,4,6,6,8,8,8,8,8,8,100,52.90401425,78,47.5,3,9187.507253
2292,2,2,2,3,6,6,5,4.376470588,6,6,7,8,9,7,7,10,50,25,8,62,4,7014.193996
2293,5,3,2,2,7,4,4,6,7,7,10,10,10,7,7,10,100,52.90401425,12,36,1,5483.996227
2297, , ,2,3,4,1,4,3,6,6,8,9,9,6,6,2,1,52.90401425,18,23,1,3425.034713
2303,2,3,1,4,6.191099476,7,7,7,7,7,10,10,10,7,7,10,100,25,8,45.13924051,4,8894.080451
2305,5,1,2,3,7,6,3,5,7,7,8,9,9,8,6,9,100,52.90401425,24,65,4,4143.877278
2307,3,1,2,4,7,2,5,4,7,7,10,10,9,7,7,10,100,5,48,56,4,4523.216362
2311,4,1,2,4,5,3,4,2,6,6,7,6,7,1,1,7,100,10,78,49,2,2795.748168
2312,5,1,1,4,7,5,6,6,6,6,7,8,9,7,6,8,100,52.90401425,24,42,3,3376.362536
2314,1,2,1,3,1,7,4,1,1,7,9,9,2,6,9,9,64.94316832,52.90401425,3,64,3,5236.166587
2323,1,1,1,3,6,4,4,4,6,6,8,8,8,8,8,2,100,52.90401425,48,39,5,6170.212641
2324, ,3,1,3,7,7,7,3,7,7,10,10,10,7,7,10,0.3,0.1,48,31,4,6138.190713
2329,3,3,1,3,7,1,4,4,7,7,10,8,10,5,6,7,50,15,24,48,4,3415.917246
2333,4,3,1,2,7,5,4,5,5,6,8,8,8,6,6,8,100,40,36,35,5,13341.4485
2341,3,1,2,4,7,3,7,6,6,5,8,8,8,7,7,10,50,50,24,44,4,12159.05035
2343,3,1,2,3,7,6,3,5,7,7,9,10,9,6,6,9,100,52.90401425,12,44,5,5218.766689
2347,4,3,1,2,7,3,4,4,6,6,7,8,9,6,6,9,100,20,48,32,2,3256.669279
2348,3,2,2,3,7,4,5,6,7,7,8,9,9,6,6,9,80,80,15.5,54,5,2887.873673
2350,5,1,2,3,7,4,6,4,7,7,9,10,10,7,7,10,80,20,24,45.13924051,2,7237.257812
2352,1,1,2,4,7,5,6,4,6,5,9,9,10,7,7,10,75,52.90401425,76,45.13924051,3,3736.918024
2353,1, ,2,1,1,1,3,1,7,1,3,3,3,5.957839262,5.811797753,8.184135977,64.94316832,52.90401425,8,45.13924051,4,3745.164481
2354,1,1,1,4,7,6,4,3,7,4,8,8,8,7,7,10,80,100,24,50,3,8377.581523
2360,5,3,2,4,4,4,4,3,4,6,10,8,9,7,7,10,100,52.90401425,48,41,4,4418.103741
2361,1,2,1,4,7,4,4,5,7,6,8,9,10,7,7,9,10,10,60,65,2,4290.583692
2362,5,2,1,3,6,6,3,5,6,7,9,9,10,7,7,10,100,52.90401425,36,65,2,5054.727282
2363,3,3,1,3,7,2,4,7,7,7,6,8,9,7,7,10,50,52.90401425,18,40,2,9297.551226
2377,1,1,1,4,7,5,7,4,7,7,10,9,9,7,6,9,1,100,36,45.13924051,3,10112.3597
2385,2,3,1,3,5,4,1,5,6,5,7,8,8,1,5,8,20,15,8,45,2,3846.019679
2402,1,3,2,2,7,6,5,5,7,7,8,7,9,7,5,10,75,50,24,48,3,7713.934387
2404,1,2,2,3,7,7,5,4,7,7,10,10,10,7,5.811797753,8.184135977,100,100,30,68,2,9892.706391
2406,5,3,1,3,2,2,2,4,6,3,6,6,6,3,2,6,10,52.90401425,36,56,3,4127.349603
2407,1,2,1,3,5,4,3,5,6,4,7,5,7,6,4,8,5,100,36,58,5,16379.6492
2415,2,1,1,4,7,5,4,5,7,7,10,10,10,7,7,10,15,30,65,68,4,17335.43722
2418,5,1,1,3,7,6,5,3,7,7,7,7,8,6,7,8,50,52.90401425,12,55,3,3108.364185
2423,4,3,1,3,6,2,5,4,6,6,7,5,7,5,4,7,90,10,36,26,2,2329.662905
2426,5,1,2,3,7,5,1,6,7,7,5,7,8,1,1,8,1,52.90401425,12,45.13924051,6,3471.303692
2427,1,3,1,2,7,1,4,1,7,7,10,10,10,7,7,10,100,100,31.20780142,40,3,10756.50461
2429,1,3,2,1,7,7,7,5,7,7,10,10,10,7,5.811797753,8.184135977,50,52.90401425,42,62,3,4312.734704
2432,2,3,2,2,6,4,4,4,5,6,9,9,9,4,4,9,64.94316832,52.90401425,12,34,1,5847.812947
2435,1,1,2,3,6,4,4,6,1,7,7,7,9,6,6,9,10,15,12,45.13924051,4,9557.509496
2436,3,1,2,2,7,6,5,2,2,7,9,8,8,6,6,9,50,25,24,45.13924051,2,8407.33722
2438,4,1,1,2,7,4,4,4,7,6,8,9,9,7,7,9,10,100,78,45.13924051,3,12311.71988
2440,1,3,2,3,4,2,1,4,4,2,5,5,5,3,1,6,100,25,16,43,1,3270.788913
2443,1,2,2,3,7,4,7,4,6,6,8,8,9,8,8,2,1,30,36,56,3,3815.271034
2455,5,2,2,3,7,4,5,2,6,6,10,9,9,7,7,10,10,52.90401425,12,59,4,7141.801096
2464,3,3,2,2,7,4,5,5,7,7,8,9,9,7,7,10,100,90,60,45.13924051,5,4730.785901
2474,5,2,1,3,6,4,2,4,6,6,8,8,8,6,6,9,80,52.90401425,24,62,5,4609.110387
2476,5,1,2,3,7,4,4,1,7,7,9,10,9,5,5,10,77.5,75,24,25,3,6970.193437
2484,6,1,1,4,6,6,5,6,6,6,8,8,8,6,6,8,90,80,24,49,4,13996.42183
2488,3,3,1,4,6,6,3,5,7,6,9,9,9,5.957839262,8,8.184135977,50,100,12,57,3,4171.76294
2489,5,3,1,4,7,1,1,4,7,7,9,9,9,6,6,9,1,52.90401425,36,57,2,2795.748168
2500,4,3,2,2,7,7,6,6,7,7,9,9,10,7,7,8.184135977,75,90,18,49,1,20671.06638
2503,1, ,1,3,7,5,4,4,6,7,10,8,9,7,6,9,75,1,24,49,3,2476.320176
2514,5, ,2,2,7,2,6,5,7,7,10,10,10,7,7,10,75,10,12,45.13924051,3,2795.748168
2516,4,3,2,2,7,5,4,4,7,5.952941176,7,7,9,7,7,10,64.94316832,75,31.20780142,53,3,6306.20576
2518,1, ,1,1,6,4,5,4,6,5,8,8,8,4,4,8,50,10,36,39,2,5749.93149
2522,1,2,2,5,6,4,2,4,5,4,6,6,6,3,3,5,100,52.90401425,24,45.13924051,2,4151.400139
2527,2,1,2,3,7,5,5,6,7,6,10,9,9,6,5,1,80,30,24,45,5,6439.098362
2529,2,3,2,2,5,4,4,5,6,5,7,7,7,2,5,6,100,50,60,45.13924051,2,5013.519441
2530,1,2,1,2,6,1,3,4,5,6,9,6,8,6,5,4,64.94316832,100,31.20780142,40,2,3208.866235
2533,1,1,2,4,7,5,3,4,6,7,8,8,8,6,6,8,90,52.90401425,36,45.13924051,3,7840.175672
2544,2,1,1,4,7,5,5,4,7,7,10,10,10,5.957839262,5.811797753,8.184135977,100,1,12,45.13924051,4,11622.85911
2545,4,3,1,3,7,6,7,4,7,7,9,9,10,7,7,10,100,100,36,59,2,3059.583551
2547,5,1,1,3,6,2,6,4,6,4,10,10,8,7,7,10,10,30,24,45.13924051,3,7201.892979
2549,2,3,2,2,6,3,2,4,6.070773263,5.952941176,9,7,7,6,3,8,100,52.90401425,18,56,1,5684.138107
2564,2,2,1,2,7,4,4,4,7,7,10,10,10,7,5.811797753,8.184135977,75,52.90401425,7,65,2,4068.426329
2567,4,3,2,3,4,3,4,4,6,6,5,5,8,5,5,8,10,52.90401425,72,31,5,2934.799459
2568,5,1,1,4,6,4,3,4,3,6,8,8,8,5,5,8,90,10,31.20780142,45.13924051,4,6499.625949
2570,5,1,2,4,6,4,3,4,6,6,8,9,9,7,7,9,80,52.90401425,12,48,2,3905.826473
2576,1,2,1,4,7,3,4,5,5,6,10,9,9,9,1,9,10,99,60,45.13924051,3,15728.40004
2587,4,1,1,3,7,4,4,4,7,7,10,10,10,2,5,9,100,2,31.20780142,45.13924051,2,4263.773483
2589,5,1,2,4,7,5,5,3,6,6,7,7,7,6,6,8,64.94316832,52.90401425,15,44,4,3750.416685
2592,3,2,2,4,7,7,7,1,7,7,7,9,10,7,7,10,100,100,18,67,2,16921.30307
2612,2, ,1,3,5,7,3,6,7,7,9,9,9,6,6,9,100,15,18,54,2,13693.95843
2617,4, ,1,3,7,7,7,6,7,7,8,8,8,6,6,9,100,6,120,47,4,5300.16503
2621,3,3,2,3,7,6,6,7,7,7,9,9,10,7,7,10,95,5,36,42,4,6926.765287
2624,4,1,2,4,7,7,6,3,7,7,10,10,10,7,7,10,100,2,5,53,4,3015.004846
2625,4, ,1,2,7,7,7,7,7,7,10,10,10,7,5.811797753,8.184135977,100,100,36,45.13924051,4,4978.517338
2629,4,3,2,2,7,3,3,3,7,7,5,5,7,6,6,8,64.94316832,52.90401425,31.20780142,30,3,4946.164546
2636,6,1,1,5,6,7,2,6,7,7,7.908496732,10,10,7,7,9,50,52.90401425,6,56,5,6999.973491
2638,3,2,2,4,7,5,3,5,7,7,10,10,10,5,5,9,5,100,12,69,2,12185.41982
2640,4, ,2,2,7,7,6,6,7,7,8,9,10,7,7,10,10,90,60,48,4,21652.07899
2643,4,3,1,3,7,4,5,6,6,7,7.908496732,7.980443286,8.355932203,5,5,8,80,12,10,40,3,7046.809977
2644,5,3,1,2,6,5,4,4,5,5,7,7,8,7,7,10,50,20,12,33,4,7690.774071
2645,2,3,2,3,7,5,5,7,7,7,10,10,10,7,7,10,5,52.90401425,24,40,4,4049.459147
2646,5,3,2,3,6,4,4,4,6,6,8,8,8,8,8,2,100,52.90401425,24,39,2,4274.153647
2647,4,3,2,4,6,2,5,3,7,6,5,5,7,5,5,8,95,5,24,38,4,6915.027347
2649,5,3,1,2,5,2,4,5,5,4,5,6,7,5.957839262,5.811797753,5,80,100,72,26,2,7248.542594
2651,5,3,2, ,7,4,1,4,4,4,4,4,6,3,3,5,90,52.90401425,24,47,4,8108.785078
2653,3,1,2,4,7,7,7,4,7,7,9,9,9,7,7,10,10,52.90401425,6,58,3,5795.441597
2654,1,3,1,2,5,3,1,5,5,5,5,5,7,5,5,7,50,52.90401425,5,23,4,5227.152144
2658,6,3,2,3,5,3,4,4,6,6,7,8,8,5,5,8,64.94316832,52.90401425,48,23,2,2569.187749
2675,5,3,2,2,2,1,3,5,2,2,4,5,5,3,3,5,64.94316832,52.90401425,31.20780142,34,1,10425.42561
2676,2,1,1,4,7,4,2,5,7,7,10,10,10,7,7,10,100,52.90401425,12,55,2,11722.08655
2679,4,3,1,3,4,1,1,3,6,4,5,5,7,8,8,8,30,52.90401425,12,34,3,3579.089251
2685,4, ,1,4,2,1,2,3,7,6,7,7,8,7,7,10,20,52.90401425,48,31,2,4906.18226
2687,1,3,2,2,6,3,3,2,5,6,8,9,8,8,1,6,100,52.90401425,12,20,2,4810.297397
2698, ,3,2,3,7,4,1,5,7,7,9,9,9,6,6,9,100,52.90401425,6,25,2,4198.395272
2703,3,3,1,1,5,4,3,4,5,5,7,8,10,9,9,2,90,50,12,14,3,2236.94355
2705,1,3,2,2,7,5,2,7,7,7,10,8,10,7,7,10,2,2,24,42,3,13286.35284
2706,4, ,2,2,7,6,4,5,7,5,8,8,8,5,5,8,100,75,12,28,2,3914.865997
2711,2,3,2,1,7,6,5,3,7,7,9,9,10,7,5.811797753,8.184135977,75,50,31.20780142,34,5,5486.394461
2728,4, ,2,3,7,6,6,7,7,7,10,10,10,7,7,10,10,50,1,43,3,2884.090649
2730,5,3,2,3,7,1,5,4,6,6,8,9,9,6,6,8,40,52.90401425,31.20780142,31,3,6144.581815
2736,5,3,2,3,7,6,7,4,7,6,9,7,8,6,6,8,100,52.90401425,24,27,3,4375.628662
