resp_no,branch,profess,gender,educatio,loy1_1,loy2_1,loy3_1,loy4_1,loy5_1,loy6_1,val1_1,val2_1,val3_1,sat1_1,sat2_1,sat3_1,sav_1,loans_1,long_1,age_1,income_1,CLV
276,3,2,2,3,6,5,4,5,3,5,7,7,8,2,3,4,100,50,24,55,4,22918.61907
278,4,2,2,2,7,6,7,4,7,7,10,9,9,7,7,10,100,100,36,70,2,15112.87218
279,1,1,2,4,7,3,4,4,6,2,9,10,9,6,6,9,100,1,12,51,3,4539.641514
281,3,2,2,4,5,4,5,3,7,7,10,10,10,7,7,10,100,52.90401425,31.20780142,59,4,3118.061192
282,5,2,1,3,6,1,4,2,7,7,10,10,10,7,7,10,6,1,16,45.13924051,2,5242.81209
285,5,3,1,4,7,3,4,4,4,4,5,5,5,2,2,6,50,40,78,58,6,9306.163736
288,4,1,2,4,6,3,5,5,7,6,8,8,9,7,7,10,100,100,12,61,2,5872.095963
292,1,2,1,2,2,5,4,2,7,7,8,8,10,7,7,10,5,52.90401425,6,62,4,3425.034713
293,4,3,2,3,7,4,2,7,7,7,9,9,10,7,7,10,10,52.90401425,8,59,6,3219.570094
294,5,2,1,2,7,1,5,4,7,7,10,10,10,7,5.811797753,8.184135977,3,52.90401425,120,63,3,3742.494753
298,4,1,2,4,7,4,4,4,6,5.952941176,9,9,9,9,5.811797753,8.184135977,30,100,36,45.13924051,3,18112.89353
304,5,2,2,4,7,6,4,2,6,6,7,8,9,6,6,9,10,52.90401425,36,63,2,2801.866125
307,5,2,2,4,7,3,5,5,7,7,9,9,9,6,6,9,100,50,9,59,2,11485.61403
313,6,1,2,4,7,4,5,4,7,7,7.908496732,7.980443286,8.355932203,6,5.811797753,8.184135977,80,80,12,48,4,8892.162885
315,4,3,2,4,7,6,4,4,6,7,7,7,9,6,6,9,10,40,78,50,3,4294.776305
316,4,3,2,2,5,1,3,5,5,6,2,6,5,2,3,7,64.94316832,10,76,40,5,3926.1531
323,2,2,1,3,7,4,6,6,6,7,10,10,10,7,5.811797753,8.184135977,1,96,24,60,4,11718.94512
334,2,2,1,3,7,4,2,2,7,6,10,10,10,7,6,9,95,100,24,45.13924051,4,11429.72396
337,1, ,2,1,7,5,6,4,7,7,7,9,10,6,6,9,64.94316832,52.90401425,18,55,2,3972.714486
338,3,1,2,4,4,3,3,4,5,4,6,6,6,4,4,5,1,3,24,58,4,3440.425693
339,4, ,2,2,7,7,7,6,7,7,8,8,9,7,7,10,100,52.90401425,6,33,3,4680.573709
340,1,3,2,2,7,7,7,5,7,7,10,10,10,7,7,10,50,100,24,66,2,3536.547987
342,4,2,1,4,7,4,5,6,7,7,5,5,7,1,1,3,30,52.90401425,36,78,2,4843.4502
344,4,3,1,3,4,1,1,4,4,4,4,5,5,4,3,5,20,10,12,45.13924051,3,1180.600058
345,3,2,1,4,5,1,4,4,4,4,5,7,7,5,5,8,5,52.90401425,48,45.13924051,3,3249.604838
346,2,2,2,4,7,5,7,4,7,7,8,8,10,3,3,5,20,52.90401425,5,61,2,3426.416647
348,5,2,2,4,7,4,5,6,6,7,10,10,10,7,5.811797753,8.184135977,30,52.90401425,78,64,3,3841.329849
350,1,3,2,4,7,6,7,3,7,6,10,8,9,7,7,9,100,52.90401425,24,56,2,3683.851913
351,3,3,2,3,4,3,4,4,7,6,10,10,10,6,6,9,1,30,34,46,4,6024.995701
352,4, ,2,3,7,5,3,6,7,7,8,8,8,5,5,8,100,35,12,39,3,10008.60669
354,5,1,1,4,2,1,3,2,4,3,3,3,5,5,5,9,10,35,24,45.13924051,3,7334.279611
355,1,3,1,3,7,4,2,7,7,7,9,9,9,6,6,10,4,10,12,43,3,2199.306617
357,4,1,2,4,4,3,3,5,7,6,10,10,10,7,5.811797753,8.184135977,100,52.90401425,36,33,3,3900.924515
362,5,3,2,2,5,4,4,4,4,4,7,7,8,1,1,7,10,52.90401425,18,21,1,3992.954932
365,4,2,1,3,6,3,3,4,6,6,8,8,8,7,7,10,5,75,8,58,3,24622.83844
368,5,3,2,2,7,5,3,4.376470588,7,6,8,7.980443286,9,7,7,10,50,50,12,51,3,7123.450924
369,1,3,1,3,7,5,3,6,6,6,7,8,8,7,7,9,100,50,12,47,4,13625.47208
370,3,3,2,3,7,6,4,4,7,6,8,8,8,8,8,8,100,52.90401425,24,47,5,2795.748168
371,1,1,2,2,7,5,5,4,6,6,8,8,8,5,5,6,100,52.90401425,12,45.13924051,2,3792.061367
377, ,3,2,4,4,1,2,3,6,5,5,8,8,6,6,8,64.94316832,52.90401425,60,32,5,2795.748168
380,5,3,2,4,7,1,2,6,7,7,6,8,9,8,8,8,100,52.90401425,24,30,2,4282.549943
381,3,3,1,3,6,4,4,5,6,6,8,9,8,8,6,9,90,52.90401425,30,28,1,5632.574383
382,2, ,1,2,6,2,3,4,4,5,7,7,7,5,5,7,85,52.90401425,6,29,2,4925.089424
383,5,3,1,3,6,4,4,4,4,4,6,6,8,5,5,8,20,66,40,57,4,10645.86449
385,6,1,2,3,7,4,1,4,7,7,5,5,7,5,5,7,75,52.90401425,4,22,1,6547.285373
390,1,1,2,4,7,4,4,6,7,7,10,9,10,7,7,10,100,50,4,53,5,3307.642603
391,3,1,2,3,7,4,4,4,4,4,5,5,7,5,5,7,100,52.90401425,24,50,2,4315.911144
392,4,3,2,2,7,4,4,3,1,7,10,10,10,7,5.811797753,8.184135977,90,90,78,52,5,17571.59274
393,5,1,2,4,7,5,2,6,6,7,9,10,10,7,7,10,50,40,31.20780142,54,3,9186.693382
395,4, ,1,3,6,3,6,6,4,5,7,5,7,6,5,8,100,80,16,48,4,11459.17748
396,5,3,2,2,7,6,5,6,7,7,10,9,9,6,6,9,100,52.90401425,15,47,3,3726.698942
397,4,3,1,3,7,3,3,5,7,6,10,10,9,7,7,10,10,80,48,47,4,4848.784734
401,5,3,2,3,7,3,2,3,4,4,6,8,7,3,3,5,100,5,15,32,4,3926.9198
404,2,2,2,2,7,1,4.092447917,7,7,7,10,9,10,7,7,10,100,100,36,71,3,12014.06944
409,2,1,2,4,6,6,4,5,7,7,8,9,10,7,7,10,100,10,3,58,2,4323.502937
411,1,1,2,4,7,2,3,1,7,6,6,8,7,4,4,7,5,52.90401425,14,50,3,8369.829452
412,1,3,2,4,7,7,7,6,7,7,10,10,10,5,5,7,100,52.90401425,36,55,4,9372.699119
415,5,1,1,4,7,5,6,3,7,7,7,7,9,7,7,9,64.94316832,52.90401425,48,45.13924051,5,9971.494607
421,4,2,2,1,6,3,2,2,6,5,9,9,8,6,6,8,100,100,31.20780142,45.13924051,4,8568.396358
422,1,1,2,4,7,6,2,1,7,7,10,10,10,7,5.811797753,8.184135977,100,52.90401425,31.20780142,45.13924051,3,2749.519995
424,2,3,2,3,1,1,7,3,4,4,8,4,6,4,3,3,50,52.90401425,31.20780142,19,1,11217.50986
428,1,3,2,3,6,4,4,3,5,6,7,7,9,7,7,9,100,10,78,44,4,4933.489496
429,2, ,2,2,6.191099476,4.061118336,4.092447917,4.376470588,6.070773263,5,6,8,9,6,6,9,20,52.90401425,36,44,3,6454.968954
430,2, ,2,3,6,2,6,6,7,7,9,9,9,6,4,8,50,52.90401425,96,38,4,9617.267938
432,5,2,2,4,6,5,4,4,6,6,8,8,8,6,6,8,95,52.90401425,60,59,6,7691.203756
433,4, ,2,2,7,7,7,7,7,6,10,10,10,7,7,10,100,52.90401425,6,28,1,4739.170331
439,1,3,1,2,7,6,6,4,7,7,10,10,10,7,7,10,1,52.90401425,12,22,1,4414.488482
